Mч,Tч,Si_ч,Mn_ч,C_ч,P_ч,S_ч,Mл,Si_л,Mn_л,C_л,P_л,S_л,М_ф1,М_ф2,М_ф3,М_ф3,М_ф3,М_мш,tд,Vд,Мм,Tм,Si_м,Mn_м,C_м,P_м,S_м,tM,Mш
300,1433,0.49,0.24,4.7,0.058,0.02,111,0.196593,0.597834,0.193674,0.019485,0.019487,16342,4806,0,4097,0,1.5,19.28,21414,372.78,1691,0.006,0.103,0.055,0.014,0.028,8.1,48.8
300,1427,0.56,0.25,4.81,0.06,0.02,112,0.196764,0.596895,0.194371,0.019533,0.019535,15948,2023,0,4257,0,1.5,18.65,21247,373.68,1659,0.005,0.06,0.055,0.007,0.022,7.9,51.9
300,1428,0.5307,0.2713,4.7273,0.0587,0.0192,111,0.197451,0.597922,0.195433,0.019625,0.019626,19934,3241,0,4169,0,1.5,20.97,22298,372.78,1662,0.005,0.045,0.035,0.005,0.016,7.2,51.1
303,1431,0.5717,0.2683,4.5348,0.0587,0.0162,111,0.177658,0.532973,0.177658,0.017766,0.017766,21972,4100,0,4180,0,1.515,19.7,22138,375.5,1665,0.003,0.092,0.086,0.007,0.018,7,53.5
303,1367,0.53,0.31,4.85,0.066,0.02,111,0.162432,0.560811,0.141691,0.015429,0.015436,13954,1399,0,4169,0,1.515,18.37,20472,375.5,1694,0.005,0.136,0.101,0.019,0.025,7.7,49.5
298,1436,0.47,0.25,4.65,0.056,0.021,115,0.191857,0.593345,0.186176,0.018901,0.018904,22016,0,0,4082,0,1.49,19.5,22362,374.59,1690,0.005,0.09,0.155,0.006,0.015,7.3,48.4
307,1391,0.6414,0.2845,4.8909,0.0622,0.0195,106,0.172742,0.618278,0.15046,0.01624,0.015895,22015,1013,0,3984,0,1.535,18.68,21638,374.59,1637,0.004,0.101,0.082,0.008,0.019,7.5,55.9
295,1448,0.6,0.24,4.89,0.055,0.02,117,0.341415,0.56141,0.566315,0.023747,0.018619,14014,3022,0,4013,0,1.475,18.25,21109,373.68,1680,0.01,0.114,0.084,0.02,0.025,7.5,57
295,1438,0.529,0.242,4.8958,0.0546,0.0193,118,0.325159,0.54572,0.541122,0.022044,0.016959,22010,2033,0,4022,0,1.475,18.82,21755,374.59,1629,0.008,0.098,0.069,0.009,0.022,7.4,54.5
295,1424,0.77,0.32,4.8,0.066,0.019,116,0.197167,0.638685,0.187476,0.019022,0.018708,16111,8739,0,4072,0,1.475,19.55,21794,372.78,1630,0.003,0.064,0.048,0.006,0.016,7.1,63.5
302,1412,0.68,0.3,4.93,0.064,0.022,111,0.194978,0.641104,0.183196,0.018733,0.018405,14415,6158,0,4097,0,1.51,18.68,20831,374.59,1654,0.005,0.068,0.05,0.009,0.028,7.3,58.2
294,1368,0.51,0.31,4.71,0.069,0.021,91,0.188782,0.587885,0.183589,0.018756,0.018756,22529,4652,0,4104,0,1.47,26.5,21971,349.2,1678,0.004,0.075,0.098,0.005,0.015,6.6,46.3
290,1436,0.5345,0.2341,4.911,0.0576,0.0217,90,0.127573,0.52325,0.093687,0.01196,0.01196,22499,6164,0,4058,0,1.45,17.9,20065,344.66,1649,0.003,0.07,0.043,0.004,0.008,6.5,46.3
